development-plan-type,end-date,entry-date,name,start-date,slug
area-action-plan,,2020-07-13,Area Action Plan,2020-07-13,/development-plan-type/area-action-plan
core-strategy,,2020-07-13,Core Strategy,2020-07-13,/development-plan-type/core-strategy
development-management,,2020-07-13,Development Management,2020-07-13,/development-plan-type/development-management
local-plan,,2020-07-13,Local Plan,2020-07-13,/development-plan-type/local-plan
minerals-waste,2021-03-29,2020-07-13,Minerals & Waste,2020-07-13,/development-plan-type/minerals-waste
all-other-types,,2020-07-13,all other types,2020-07-13,/development-plan-type/all-other-types
partial-review,,2020-07-13,Partial Review,2020-07-13,/development-plan-type/partial-review
site-allocations,,2020-07-13,Site Allocations,2020-07-13,/development-plan-type/site-allocations
neighbourhood-plan,,2021-02-04,Neighbourhood Plan,2021-02-04,/development-plan-type/neighbourhood-plan
minerals-plan,,2021-03-29,Minerals plan,2021-03-29,/development-plan-type/minerals-plan
waste-plan,,2021-03-29,Waste plan,2021-03-29,/development-plan-type/waste-plan
